number,generated_file,original_file,capture_date,display_date,width,height,optimized_bytes,thumbnail_bytes
238,bgfs-0238.jpg,IMG_20251002_132258.jpg,2025-10-02,"October 2, 2025",2400,1802,1028281,78081
239,bgfs-0239.jpg,IMG_20251002_132204.jpg,2025-10-02,"October 2, 2025",2400,1802,941663,73182
240,bgfs-0240.jpg,IMG_20251001_174233.jpg,2025-10-01,"October 1, 2025",2400,1802,782673,69923
241,bgfs-0241.jpg,IMG_20251001_180516.jpg,2025-10-01,"October 1, 2025",2400,1802,502864,65551
242,bgfs-0242.jpg,FB_IMG_1777121529058.jpg,1777-12-15,"December 15, 1777",2048,1364,433745,82559
243,bgfs-0243.jpg,518103465_10238287194827049_4079907161954165912_n.jpg,,,2048,1364,313964,61949
244,bgfs-0244.jpg,FB_IMG_1786762207471.jpg,,,2048,2040,304903,71467
245,bgfs-0245.jpg,10153805088644428.jpg,,,1111,781,139097,63747
246,bgfs-0246.jpg,10153805094769428.jpg,,,1111,741,111513,40565
247,bgfs-0247.jpg,-6050947517035252563_121.jpg,,,1280,720,141998,51011
